,countries,Names
290,German,Andres
291,German,Armbrüster
292,German,Armbruster
293,German,Artz
294,German,Aue
295,German,Auer
296,German,Augustin
297,German,Aust
298,German,Autenburg
299,German,Auttenberg
300,German,Baasch
301,German,Bach
302,German,Bachmeier
303,German,Bäcker
304,German,Bader
305,German,Bähr
306,German,Bambach
307,German,Bauer
308,German,Bauers
309,German,Baum
310,German,Baumann
311,German,Baumbach
312,German,Baumgärtner
313,German,Baumgartner
314,German,Baumhauer
315,German,Bayer
316,German,Beck
317,German,Becke
318,German,Beckenbauer
319,German,Becker
320,German,Beckert
321,German,Behrend
322,German,Behrends
323,German,Beitel
324,German,Beltz
325,German,Benn
326,German,Berg
327,German,Berger
328,German,Bergfalk
329,German,Beringer
330,German,Bernat
331,German,Best
332,German,Beutel
333,German,Beyer
334,German,Beyersdorf
335,German,Bieber
336,German,Biermann
337,German,Bischoffs
338,German,Blau
339,German,Blecher
340,German,Bleier
341,German,Blumenthal
342,German,Blumstein
343,German,Bocker
344,German,Boehler
345,German,Boer
346,German,Boesch
347,German,Böhler
348,German,Böhm
349,German,Böhme
350,German,Böhmer
351,German,Bohn
352,German,Borchard
353,German,Bösch
354,German,Bosch
355,German,Böttcher
356,German,Brahms
357,German,Brand
358,German,Brandt
359,German,Brant
360,German,Brauer
361,German,Braun
362,German,Braune
363,German,Breiner
364,German,Breisacher
365,German,Breitbarth
366,German,Bretz
367,German,Brinkerhoff
368,German,Brodbeck
369,German,Brose
370,German,Brotz
371,German,Bruhn
372,German,Brun
373,German,Brune
374,German,Buchholz
375,German,Buckholtz
376,German,Buhr
377,German,Bumgarner
378,German,Burgstaller
379,German,Busch
380,German,Carver
381,German,Chevrolet
382,German,Cline
383,German,Dahl
384,German,Denzel
385,German,Derrick
386,German,Diefenbach
387,German,Dieter
388,German,Dietrich
389,German,Dirchs
390,German,Dittmar
391,German,Dohman
392,German,Drechsler
393,German,Dreher
394,German,Dreschner
395,German,Dresdner
396,German,Dressler
397,German,Duerr
398,German,Dunkle
399,German,Dunst
400,German,Dürr
401,German,Eberhardt
402,German,Ebner
403,German,Ebner
404,German,Eckstein
405,German,Egger
406,German,Eichel
407,German,Eilerts
408,German,Engel
409,German,Enns
410,German,Esser
411,German,Essert
412,German,Everhart
413,German,Fabel
414,German,Faerber
415,German,Falk
416,German,Falkenrath
417,German,Färber
418,German,Fashingbauer
419,German,Faust
420,German,Feigenbaum
421,German,Feld
422,German,Feldt
423,German,Fenstermacher
424,German,Fertig
425,German,Fiedler
426,German,Fischer
427,German,Flater
428,German,Fleischer
429,German,Foerstner
430,German,Forst
431,German,Förstner
432,German,Foth
433,German,Frank
434,German,Franke
435,German,Frei
436,German,Freud
437,German,Freudenberger
438,German,Freund
439,German,Fried
440,German,Friedrich
441,German,Fromm
442,German,Frost
443,German,Fuchs
444,German,Fuhrmann
445,German,Fürst
446,German,Fux
447,German,Gabler
448,German,Gaertner
449,German,Garb
450,German,Garber
451,German,Gärtner
452,German,Garver
453,German,Gass
454,German,Gehrig
455,German,Gehring
456,German,Geier
457,German,Geiger
458,German,Geisler
459,German,Geissler
460,German,Geiszler
461,German,Gensch
462,German,Gerber
463,German,Gerhard
464,German,Gerhardt
465,German,Gerig
466,German,Gerst
467,German,Gerstle
468,German,Gerver
469,German,Giehl
470,German,Giese
471,German,Glöckner
472,German,Goebel
473,German,Goldschmidt
474,German,Gorman
475,German,Gott
476,German,Gotti
477,German,Gottlieb
478,German,Gottschalk
479,German,Graner
480,German,Greenberg
481,German,Groos
482,German,Gros
483,German,Gross
484,German,Groß
485,German,Große
486,German,Grosse
487,German,Größel
488,German,Großel
489,German,Großer
490,German,Grosser
491,German,Grosz
492,German,Grünewald
493,German,Günther
494,German,Gunther
495,German,Gutermuth
496,German,Gwerder
497,German,Haas
498,German,Haase
499,German,Haber
500,German,Habich
501,German,Habicht
502,German,Hafner
503,German,Hahn
504,German,Hall
505,German,Halle
506,German,Harman
507,German,Hartmann
508,German,Hase
509,German,Hasek
510,German,Hasenkamp
511,German,Hass
512,German,Hauer
513,German,Haupt
514,German,Hausler
515,German,Havener
516,German,Heidrich
517,German,Heinrich
518,German,Heinrichs
519,German,Heintze
520,German,Hellewege
521,German,Heppenheimer
522,German,Herbert
523,German,Hermann
524,German,Herrmann
525,German,Herschel
526,German,Hertz
527,German,Hildebrand
528,German,Hinrichs
529,German,Hintzen
530,German,Hirsch
531,German,Hoch
532,German,Hochberg
533,German,Hoefler
534,German,Hofer
535,German,Hoffman
536,German,Hoffmann
537,German,Höfler
538,German,Hofmann
539,German,Hofmeister
540,German,Holst
541,German,Holtzer
542,German,Hölzer
543,German,Holzer
544,German,Holzknecht
545,German,Holzmann
546,German,Hoover
547,German,Horn
548,German,Horn
549,German,Horowitz
550,German,Houk
551,German,Hüber
552,German,Huber
553,German,Huff
554,German,Huffman
555,German,Huffmann
556,German,Hummel
557,German,Hummel
558,German,Hutmacher
559,German,Ingersleben
560,German,Jaeger
561,German,Jäger
562,German,Jager
563,German,Jans
564,German,Janson
565,German,Janz
566,German,Jollenbeck
567,German,Jordan
568,German,Jund
569,German,Jung
570,German,Junge
571,German,Kahler
572,German,Kaiser
573,German,Kalb
574,German,Kalbfleisch
575,German,Kappel
576,German,Karl
577,German,Kaspar
578,German,Kassmeyer
579,German,Kästner
580,German,Katz
581,German,Kaube
582,German,Käufer
583,German,Kaufer
584,German,Kauffmann
585,German,Kaufman
586,German,Keil
587,German,Keller
588,German,Kempf
589,German,Kerner
590,German,Kerper
591,German,Kerwar
592,German,Kerwer
593,German,Kiefer
594,German,Kiefer
595,German,Kirchner
596,German,Kistler
597,German,Kistner
598,German,Kleid
599,German,Klein
600,German,Klossner
601,German,Knef
602,German,Kneib
603,German,Kneller
604,German,Knepp
605,German,Knochenmus
606,German,Knopf
607,German,Knopp
608,German,Koch
609,German,Kock
610,German,Koenig
611,German,Koenigsmann
612,German,Köhl
613,German,Kohl
614,German,Köhler
615,German,Kohler
616,German,Kolbe
617,German,König
618,German,Königsmann
619,German,Kopp
620,German,Kraemer
621,German,Krämer
622,German,Kramer
623,German,Krantz
624,German,Kranz
625,German,Kraus
626,German,Krause
627,German,Krauss
628,German,Krauß
629,German,Krebs
630,German,Kröger
631,German,Kron
632,German,Kruckel
633,German,Krüger
634,German,Krüger
635,German,Kruger
636,German,Kruse
637,German,Kruse
638,German,Küchler
639,German,Kuhn
640,German,Kundert
641,German,Kunkel
642,German,Kunkle
643,German,Kuntz
644,German,Kunze
645,German,Kurzmann
646,German,Laberenz
647,German,Lafrentz
648,German,Lafrenz
649,German,Landau
650,German,Lang
651,German,Lange
652,German,Langenberg
653,German,Langer
654,German,Larenz
655,German,Laurenz
656,German,Lauritz
657,German,Lawerenz
658,German,Lawrenz
659,German,Lehmann
660,German,Lehrer
661,German,Leitner
662,German,Leitz
663,German,Leitzke
664,German,Lenz
665,German,Leverenz
666,German,Lewerentz
667,German,Lewerenz
668,German,Lichtenberg
669,German,Lieberenz
670,German,Linden
671,German,Loewe
672,German,Lohrenz
673,German,Lorentz
674,German,Lorenz
675,German,Lorenzen
676,German,Loris
677,German,Loritz
678,German,Löwe
679,German,Ludwig
680,German,Luther
681,German,Maas
682,German,Maier
683,German,Mandel
684,German,Mann
685,German,Markwardt
686,German,Marquardt
687,German,Marquering
688,German,Marquerink
689,German,Martell
690,German,Martin
691,German,Martz
692,German,Mas
693,German,Maurer
694,German,Maus
695,German,Mayer
696,German,Meier
697,German,Mein
698,German,Meindl
699,German,Meinhardt
700,German,Meisner
701,German,Meissner
702,German,Melsbach
703,German,Mendel
704,German,Mendelsohn
705,German,Mendelssohn
706,German,Messer
707,German,Messerli
708,German,Messmann
709,German,Messner
710,German,Metz
711,German,Metz
712,German,Metzger
713,German,Meyer
714,German,Michel
715,German,Mohren
716,German,Möller
717,German,Morgenstern
718,German,Moser
719,German,Mueller
720,German,Muhlfeld
721,German,Müller
722,German,Nagel
723,German,Neuman
724,German,Neumann
725,German,Nuremberg
726,German,Nussbaum
727,German,Nussenbaum
728,German,Oberst
729,German,Oelberg
730,German,Ohme
731,German,Oliver
732,German,Oppenheimer
733,German,Ott
734,German,Otto
735,German,Oursler
736,German,Pahlke
737,German,Papke
738,German,Papp
739,German,Paternoster
740,German,Paul
741,German,Paulis
742,German,Pawlitzki
743,German,Penzig
744,German,Peter
745,German,Peters
746,German,Pfaff
747,German,Pfenning
748,German,Plank
749,German,Pletcher
750,German,Porsche
751,German,Portner
752,German,Prinz
753,German,Protz
754,German,Rademacher
755,German,Rademaker
756,German,Rapp
757,German,Raske
758,German,Raskob
759,German,Raskop
760,German,Raskoph
761,German,Regenbogen
762,German,Reier
763,German,Reiher
764,German,Reiter
765,German,Rettig
766,German,Reuter
767,German,Reuter
768,German,Richard
769,German,Richter
770,German,Rier
771,German,Riese
772,German,Ritter
773,German,Rose
774,German,Rosenberg
775,German,Rosenberger
776,German,Rosenfeld
777,German,Rot
778,German,Roth
779,German,Rothbauer
780,German,Rothenberg
781,German,Rothschild
782,German,Sachs
783,German,Saller
784,German,Saller
785,German,Salomon
786,German,Salzwedel
787,German,Samuel
788,German,Sander
789,German,Sauber
790,German,Schäfer
791,German,Scheer
792,German,Scheinberg
793,German,Schenck
794,German,Schermer
795,German,Schindler
796,German,Schirmer
797,German,Schlender
798,German,Schlimme
799,German,Schlusser
800,German,Schmeling
801,German,Schmid
802,German,Schmidt
803,German,Schmitt
804,German,Schmitz
805,German,Schneider
806,German,Schnoor
807,German,Schnur
808,German,Schoettmer
809,German,Schräder
810,German,Schrader
811,German,Schreck
812,German,Schreier
813,German,Schröder
814,German,Schröder
815,German,Schroeder
816,German,Schroeter
817,German,Schröter
818,German,Schubert
819,German,Schuchard
820,German,Schuchardt
821,German,Schuchert
822,German,Schuhart
823,German,Schuhmacher
824,German,Schuler
825,German,Schult
826,German,Schulte
827,German,Schultes
828,German,Schultheis
829,German,Schultheiss
830,German,Schultheiß
831,German,Schultz
832,German,Schultze
833,German,Schulz
834,German,Schulze
835,German,Schumacher
836,German,Schuster
837,German,Schuttmann
838,German,Schwangau
839,German,Schwartz
840,German,Schwarz
841,German,Schwarzenegger
842,German,Schwenke
843,German,Schwinghammer
844,German,Seelenfreund
845,German,Seidel
846,German,Senft
847,German,Senft
848,German,Sheinfeld
849,German,Shriver
850,German,Siegel
851,German,Siegel
852,German,Siekert
853,German,Siemon
854,German,Silverstein
855,German,Simen
856,German,Simmon
857,German,Simon
858,German,Simons
859,German,Siskin
860,German,Siskind
861,German,Sitz
862,German,Sitz
863,German,Slusser
864,German,Solberg
865,German,Sommer
866,German,Sommer
867,German,Sommer
868,German,Sommer
869,German,Sonnen
870,German,Sorg
871,German,Sorge
872,German,Spannagel
873,German,Specht
874,German,Spellmeyer
875,German,Spitznogle
876,German,Sponaugle
877,German,Stark
878,German,Stauss
879,German,Steen
880,German,Steffen
881,German,Stein
882,German,Steinmann
883,German,Stenger
884,German,Sternberg
885,German,Steube
886,German,Steuben
887,German,Stieber
888,German,Stoppelbein
889,German,Stoppelbein
890,German,Strand
891,German,Straub
892,German,Strobel
893,German,Strohkirch
894,German,Stroman
895,German,Stuber
896,German,Stueck
897,German,Stumpf
898,German,Sturm
899,German,Suess
900,German,Sulzbach
901,German,Swango
902,German,Switzer
903,German,Tangeman
904,German,Tanzer
905,German,Teufel
906,German,Tiedeman
907,German,Tifft
908,German,Tillens
909,German,Tobias
910,German,Tolkien
911,German,Tresler
912,German,Tritten
913,German,Trumbauer
914,German,Tschida
915,German,Unkle
916,German,Unruh
917,German,Unterbrink
918,German,Ursler
919,German,Vann
920,German,Van
921,German,tonder
922,German,Vieth
923,German,Vogel
924,German,Vogt
925,German,Vogts
926,German,Voigt
927,German,Voigts
928,German,Volk
929,German,Voll
930,German,Von
931,German,brandt
932,German,Von
933,German,essen
934,German,Von
935,German,grimmelshausen
936,German,Von
937,German,ingersleben
938,German,Vonnegut
939,German,Von
940,German,wegberg
941,German,Voss
942,German,Voß
943,German,Wägner
944,German,Wagner
945,German,Wähner
946,German,Wahner
947,German,Waldfogel
948,German,Waldvogel
949,German,Walkenhorst
950,German,Walter
951,German,Walther
952,German,Waltz
953,German,Wang
954,German,Warner
955,German,Waxweiler
956,German,Weber
957,German,Wechsler
958,German,Wedekind
959,German,Weeber
960,German,Wegener
961,German,Wegner
962,German,Wehner
963,German,Wehunt
964,German,Weigand
965,German,Weiman
966,German,Weiner
967,German,Weiss
968,German,Weiß
969,German,Welter
970,German,Wendel
971,German,Wendell
972,German,Werner
973,German,Wernher
974,German,West
975,German,Westerberg
976,German,Wetterman
977,German,Wetzel
978,German,Wexler
979,German,Wieck
980,German,Wiegand
981,German,Wildgrube
982,German,Winter
983,German,Winther
984,German,Winther
985,German,Wirner
986,German,Wirnhier
987,German,Wirt
988,German,Wirth
989,German,Wolf
990,German,Wolff
991,German,Wolter
992,German,Wörner
993,German,Wörnhör
994,German,Wruck
995,German,Wyman
996,German,Xylander
997,German,Zellweger
998,German,Zilberschlag
999,German,Zimmerman
1000,German,Zimmermann
1001,German,
1002,Irish,Adam
1003,Irish,Ahearn
1004,Irish,Aodh
1005,Irish,Aodha
1006,Irish,Aonghuis
1007,Irish,Aonghus
1008,Irish,Bhrighde
1009,Irish,Bradach
1010,Irish,Bradan
1011,Irish,Braden
1012,Irish,Brady
1013,Irish,Bran
1014,Irish,Brannon
1015,Irish,Brian
1016,Irish,Callaghan
1017,Irish,Caomh
1018,Irish,Carey
1019,Irish,Casey
1020,Irish,Cassidy
1021,Irish,Cathain
1022,Irish,Cathan
1023,Irish,Cathasach
1024,Irish,Ceallach
1025,Irish,Ceallachan
1026,Irish,Cearbhall
1027,Irish,Cennetig
1028,Irish,Ciardha
1029,Irish,Clark
1030,Irish,Cleirich
1031,Irish,Cleirigh
1032,Irish,Cnaimhin
1033,Irish,Coghlan
1034,Irish,Coilean
1035,Irish,Collins
1036,Irish,Colman
1037,Irish,Conall
1038,Irish,Conchobhar
1039,Irish,Conn
1040,Irish,Connell
1041,Irish,Connolly
1042,Irish,Cormac
1043,Irish,Corraidhin
1044,Irish,Cuidightheach
1045,Irish,Curran
1046,Irish,Dúbhshlaine
1047,Irish,Dalach
1048,Irish,Daly
1049,Irish,Damhain
1050,Irish,Damhan
1051,Irish,Delaney
1052,Irish,Desmond
1053,Irish,Devin
1054,Irish,Diarmaid
1055,Irish,Doherty
1056,Irish,Domhnall
1057,Irish,Donnchadh
1058,Irish,Donndubhan
1059,Irish,Donnell
1060,Irish,Donoghue
1061,Irish,Donovan
1062,Irish,Doyle
1063,Irish,Dubhain
1064,Irish,Dubhan
1065,Irish,Duncan
1066,Irish,Eoghan
1067,Irish,Eoin
1068,Irish,Eoin
1069,Irish,Faolan
1070,Irish,Farrell
1071,Irish,Fearghal
1072,Irish,Fergus
1073,Irish,Finn
1074,Irish,Finnegan
1075,Irish,Fionn
1076,Irish,Flanagan
1077,Irish,Flann
1078,Irish,Flynn
1079,Irish,Gallchobhar
1080,Irish,Gerald
1081,Irish,Giolla
1082,Irish,Gorman
1083,Irish,Hayden
1084,Irish,Ivor
1085,Irish,John
1086,Irish,Kavanagh
1087,Irish,Keefe
1088,Irish,Kelly
1089,Irish,Kennedy
1090,Irish,Lennon
1091,Irish,Login
1092,Irish,Macclelland
1093,Irish,Macdermott
1094,Irish,Maceachthighearna
1095,Irish,Macfarland
1096,Irish,Macghabhann
1097,Irish,Maciomhair
1098,Irish,Macshuibhne
1099,Irish,Madaidhin
1100,Irish,Madden
1101,Irish,Maguire
1102,Irish,Mahoney
1103,Irish,Maille
1104,Irish,Malone
1105,Irish,Manus
1106,Irish,Maolmhuaidh
1107,Irish,Mathghamhain
1108,Irish,Maurice
1109,Irish,Mcguire
1110,Irish,Mckay
1111,Irish,Mclain
1112,Irish,Mcmahon
1113,Irish,Mcnab
1114,Irish,Mcneil
1115,Irish,Meadhra
1116,Irish,Michael
1117,Irish,Milligan
1118,Irish,Mochan
1119,Irish,Mohan
1120,Irish,Molloy
1121,Irish,Monahan
1122,Irish,Mooney
1123,Irish,Muirchertach
1124,Irish,Mullen
1125,Irish,Mulryan
1126,Irish,Murchadh
1127,Irish,Murphy
1128,Irish,Names
1129,Irish,Naoimhin
1130,Irish,Naomhan
1131,Irish,Neil
1132,Irish,Neville
1133,Irish,Nevin
1134,Irish,Niadh
1135,Irish,Niall
1136,Irish,Nolan
1137,Irish,Nuallan
1138,Irish,O'Boyle
1139,Irish,O'Brien
1140,Irish,O'Byrne
1141,Irish,O'Donnell
1142,Irish,O'Hannagain
1143,Irish,O'Hannigain
1144,Irish,O'Keefe
1145,Irish,O'Mooney
1146,Irish,O'Neal
1147,Irish,O'Boyle
1148,Irish,O'Bree
1149,Irish,O'Brian
1150,Irish,O'Brien
1151,Irish,O'Callaghann
1152,Irish,O'Connell
1153,Irish,O'Connor
1154,Irish,O'Dell
1155,Irish,O'Doherty
1156,Irish,O'Donnell
1157,Irish,O'Donoghue
1158,Irish,O'Dowd
1159,Irish,O'Driscoll
1160,Irish,O'Gorman
1161,Irish,O'Grady
1162,Irish,O'Hagan
1163,Irish,O'Halloran
1164,Irish,O'Hanlon
1165,Irish,O'Hara
1166,Irish,O'Hare
1167,Irish,O'Kane
1168,Irish,O'Keefe
1169,Irish,O'Keeffe
1170,Irish,O'Kelly
1171,Irish,O'Leary
1172,Irish,O'Loughlin
1173,Irish,O'Mahoney
1174,Irish,O'Mahony
1175,Irish,O'Malley
1176,Irish,O'Meara
1177,Irish,O'Neal
1178,Irish,O'Neill
1179,Irish,O'Reilly
1180,Irish,O'Rourke
1181,Irish,O'Ryan
1182,Irish,O'Shea
1183,Irish,O'Sullivan
1184,Irish,O'Toole
1185,Irish,Patrick
1186,Irish,Peatain
1187,Irish,Pharlain
1188,Irish,Power
1189,Irish,Quigley
1190,Irish,Quinn
1191,Irish,Quirke
1192,Irish,Raghailligh
1193,Irish,Reagan
1194,Irish,Register
1195,Irish,Reilly
1196,Irish,Reynold
1197,Irish,Rhys
1198,Irish,Riagain
1199,Irish,Riagan
1200,Irish,Riain
1201,Irish,Rian
1202,Irish,Rinn
1203,Irish,Roach
1204,Irish,Rodagh
1205,Irish,Rory
1206,Irish,Ruadh
1207,Irish,Ruadhain
1208,Irish,Ruadhan
1209,Irish,Ruaidh
1210,Irish,Samuel
1211,Irish,Scolaidhe
1212,Irish,Seaghdha
1213,Irish,Sechnall
1214,Irish,Seighin
1215,Irish,Shannon
1216,Irish,Sheehy
1217,Irish,Simon
1218,Irish,Sioda
1219,Irish,Sloan
1220,Irish,Sluaghadhan
1221,Irish,Suaird
1222,Irish,Sullivan
1223,Irish,Tadhg
1224,Irish,Tadhgan
1225,Irish,Taidhg
1226,Irish,Teagan
1227,Irish,Teague
1228,Irish,Tighearnach
1229,Irish,Tracey
1230,Irish,Treasach
1231,Irish,Whalen
1232,Irish,Whelan
1233,Irish,William
1234,Irish,
1235,Japanese,Abe
1236,Japanese,Abukara
1237,Japanese,Adachi
1238,Japanese,Aida
1239,Japanese,Aihara
1240,Japanese,Aizawa
1241,Japanese,Ajibana
1242,Japanese,Akaike
1243,Japanese,Akamatsu
1244,Japanese,Akatsuka
1245,Japanese,Akechi
1246,Japanese,Akera
1247,Japanese,Akimoto
1248,Japanese,Akita
1249,Japanese,Akiyama
1250,Japanese,Akutagawa
1251,Japanese,Amagawa
1252,Japanese,Amaya
1253,Japanese,Amori
1254,Japanese,Anami
1255,Japanese,Ando
1256,Japanese,Anzai
1257,Japanese,Aoki
1258,Japanese,Arai
1259,Japanese,Arakawa
1260,Japanese,Araki
1261,Japanese,Arakida
1262,Japanese,Arato
1263,Japanese,Arihyoshi
1264,Japanese,Arishima
1265,Japanese,Arita
1266,Japanese,Ariwa
1267,Japanese,Ariwara
1268,Japanese,Asahara
1269,Japanese,Asahi
1270,Japanese,Asai
1271,Japanese,Asano
1272,Japanese,Asanuma
1273,Japanese,Asari
1274,Japanese,Ashia
1275,Japanese,Ashida
1276,Japanese,Ashikaga
1277,Japanese,Asuhara
1278,Japanese,Atshushi
1279,Japanese,Ayabito
1280,Japanese,Ayugai
1281,Japanese,Baba
1282,Japanese,Baisotei
1283,Japanese,Bando
1284,Japanese,Bunya
1285,Japanese,Chiba
1286,Japanese,Chikamatsu
1287,Japanese,Chikanatsu
1288,Japanese,Chino
1289,Japanese,Chishu
1290,Japanese,Choshi
1291,Japanese,Daishi
1292,Japanese,Dan
1293,Japanese,Date
1294,Japanese,Dazai
1295,Japanese,Deguchi
1296,Japanese,Deushi
1297,Japanese,Doi
1298,Japanese,Ebina
1299,Japanese,Ebisawa
1300,Japanese,Eda
1301,Japanese,Egami
1302,Japanese,Eguchi
1303,Japanese,Ekiguchi
1304,Japanese,Endo
1305,Japanese,Endoso
1306,Japanese,Enoki
1307,Japanese,Enomoto
1308,Japanese,Erizawa
1309,Japanese,Eto
1310,Japanese,Etsuko
1311,Japanese,Ezakiya
1312,Japanese,Fuchida
1313,Japanese,Fugunaga
1314,Japanese,Fujikage
1315,Japanese,Fujimaki
1316,Japanese,Fujimoto
1317,Japanese,Fujioka
1318,Japanese,Fujishima
1319,Japanese,Fujita
1320,Japanese,Fujiwara
1321,Japanese,Fukao
1322,Japanese,Fukayama
1323,Japanese,Fukuda
1324,Japanese,Fukumitsu
1325,Japanese,Fukunaka
1326,Japanese,Fukuoka
